Ambiente	CE	DAP	RM_0-5	RM_5=10	HR	P	MO	Ph	Ca	Mg	Na	K	N	ARA	RESP
AG	0.73	1.27	4.5	4.5	0.24	29.1	2.23	5.5	5.6	1.9	0.65	1.74	0.26	0.05	0.03
AG	0.96	1.33	3.5	3.25	0.27	34.6	2.58	5.9	6.05	2.35	0.66	1.63	0.35	0.05	0.19
AG	0.74	1.36	2.25	3.25	0.28	32.6	2.7	5.6	5.95	2.15	0.78	1.64	0.28	0.05	0.02
AG	0.78	1.3	2.75	3.25	0.26	35.8	2.35	5.8	6.15	2	0.98	1.7	0.34	0.03	0.03
AG	1.3	1.34	1	1.5	0.25	26.1	2.38	5.5	6	1.77	0.7	1.32	0.27	0.29	0.04
AG	0.82	1.22	2	4	0.26	29.5	2.48	5.5	6.4	1.85	0.66	1	0.26	0.04	0.03
AG	0.76	1.31	0.5	2.25	0.25	20.5	2.63	5.8	5.94	1.94	0.8	1.1	0.21	0.05	0.04
AG	0.57	1.29	9.5	14	0.21	2.82	4.56	6.21	6.58	2.05	0.58	1.24	0.29	0.04	0.02
AG	0.54	1.2	14	13.5	0.19	2.01	4.74	6.32	6.28	1.94	0.71	1.37	0.35	0.03	0.03
AG	0.59	1.43	3	6.5	0.22	3.36	4.14	6.14	6.04	2.07	0.6	1.22	0.28	0.03	0.03
AG	0.71	1.31	2.5	4	0.22	7.41	5.12	6.16	5.83	2.03	0.69	1.33	0.16	0.06	0.03
AG	0.47	1.25	5	6.5	0.24	8.76	5.2	5.95	6.1	2.02	0.7	1.35	0.35	0.01	0.03
AG	0.84	1.23	7	7.75	0.23	7.14	5.19	5.74	6.07	1.89	0.7	1.31	0.34	0.03	0.03
AG	0.49	1.22	4	7	0.23	6.67	3.89	6.1	6.33	1.95	0.71	1.01	0.35	0.02	0.03
AG	0.57	1.21	6.75	9.5	0.27	11.13	4.04	5.92	6.38	1.94	0.68	1.09	0.19	0.02	0.03
AG	0.56	1.31	3.5	6.25	0.25	3.09	5.33	6.4	6.15	1.95	0.69	1.07	0.29	0.03	0.03
AG	0.52	1.23	0	0	0.19	12.15	6.37	5.71	7.5	1.14	0.08	3.4	0.31	0.25	0.26
AG	0.51	0.9	4.5	7	0.17	26.49	5.43	6.85	5.88	0.84	0.03	2.13	0.26	0.25	0.22
AG	0.54	0.96	2.5	5.25	0.14	26.49	7.31	6.33	6.6	0.99	0.09	2.5	0.26	0.25	0.04
AG	0.66	1.3	3.25	4.75	0.14	9.26	4.87	5.49	4.88	0.7	0.09	1.4	0.32	0.25	0.01
AG	0.55	1.29	4	5	0.22	10.5	5.62	5.44	4.86	0.81	1.1	1.34	0.28	0.25	0.03
AG	0.54	1.16	3.25	4.75	0.21	6.89	6.09	5.43	4.67	0.61	0.09	1.32	0.32	0.25	0.16
AG	0.61	1.2	1.5	1.5	0.19	15.66	6.65	5.61	8.15	1.36	0.08	2.33	0.26	0.25	0.03
AG	0.74	1.04	2	6.25	0.37	54.64	5.72	5.77	6.45	1.45	0.09	2.1	0.27	0.25	0.06
AG	0.64	1.16	2	5	0.19	24.42	5.9	5.87	6.25	0.89	0.19	2.89	0.24	0.25	0.05
AG	0.87	1.26	6.5	11	0.21	1.52	5.12	6.03	5.95	0.48	0.79	1.2	0.33	0.28	0.04
AG	0.65	1.17	2	6	0.25	4.42	5.12	5.91	5.75	0.67	1.2	1.6	0.36	0.28	0.03
AG	0.55	1.24	4	5	0.25	0.09	4.87	6.1	5.5	0.51	0.72	2.6	0.35	0.31	0.09
AG	0.75	1.09	7	6	0.24	0	4.39	6.83	6.05	0.88	0.67	1.52	0.33	0.31	0.07
AG	0.67	1.17	4.5	5	0.26	3.59	4.39	5.52	4.6	0.85	0.85	1.55	0.32	0.3	0.02
AG	0.69	1.23	5.5	9.5	0.21	0	4.87	6.65	5.05	0.8	1.01	1.9	0.38	0.4	0.08
AG	0.66	1.18	3.5	3.5	0.21	2.97	4.87	6.18	4.78	0.49	0.7	1.2	0.35	0.31	0.04
AG	0.45	1.17	0.5	2.25	0.2	2.87	4.39	7.05	5.95	1.33	0.63	2.06	0.32	0.37	0.01
AG	0.47	1.3	1.25	1.75	0.25	0	3.65	5.84	7.08	0.89	0.8	1.66	0.23	0.31	0.01
AG	0.31	1.31	0	3.5	0.37	6.23	7.25	6.22	6.5	1.51	0.73	1.96	0.33	0.09	0.01
AG	0.32	1.2	5.75	8.5	0.35	4.8	6.66	6.43	6.7	1.63	0.65	2.3	0.33	0.07	0.07
AG	0.29	1.26	3.5	9.75	0.32	3.37	6.37	6.27	6.18	1.23	0.61	1.66	0.34	0.12	0.11
AG	0.32	1.21	5.5	5	0.35	0	9.23	6.3	4.53	0.95	0.9	1.89	0.31	0.1	0.05
AG	0.31	1.18	3.5	7	0.35	0.11	5.49	6.14	4.55	0.95	0.63	1.95	0.42	0.09	0.07
AG	0.27	1.21	8	8.25	0.35	0	5.71	5.9	4.5	1	0.76	1.8	0.36	0.14	0.17
AG	0.24	1.25	3.75	13.25	0.31	2.56	6.15	6.32	5.9	1.13	0.78	2.5	0.32	0.05	0.09
AG	0.32	1.16	4.25	6.5	0.3	5.82	6.37	6.56	6	1.4	0.75	1.96	0.31	0.08	0.07
AG	0.33	1.27	4.25	7	0.29	5	6.81	6.38	6.25	1.51	0.81	2	0.29	0.07	0.04
AG	0.11	1.22	2	5	0.29	7.19	6.07	6.21	6.6	0.98	0.65	1.89	0.27	0.19	0.08
AG	0.14	1.19	10.5	13	0.3	2.39	3.79	6.4	6.05	1.48	0.76	1.3	0.19	0.19	0.01
AG	0.16	1.2	7	11	0.3	2.94	5.06	5.97	6.28	1.05	0.89	1.9	0.21	0.17	0
AG	0.2	1.15	8.5	16	0.27	4.06	5.18	5.66	5.01	1.08	1.01	2.13	0.28	0.15	0.04
AG	0.16	1.14	15.5	15.5	0.25	8.93	5.31	5.88	5.15	1	1	2.4	0.25	0.16	0.01
AG	0.13	1.17	10	14.5	0.27	5.17	5.31	5.94	5.1	0.95	0.65	1.9	0.28	0.15	0.01
